speciesKey,species,occurrenceCount,vernacularNameEn,vernacularNameEs,vernacularNameEl,imageSrc,imageUrl,imageBy,speciesGroup,iucnRedListCategory
5201392,Platycephalus richardsoni,276,,,,,,,,
2419580,Urogymnus asperrimus,246,,,,,,,,
2417983,Carcharhinus brevipinna,224,Spinner Shark,,Καρχαρίνος κοντόφτερος,https://inaturalist-open-data.s3.amazonaws.com/photos/141413830/medium.jpg,https://www.inaturalist.org/observations/85898648,Niall Perrins,Sharks & Rays,VU
2385226,Aprion virescens,220,,,Πράσινη συναγρίδα Ινδο-Ειρηνικού,,,,,
2417418,Callorhinchus milii,204,,,,,,,,
2384899,Lutjanus sebae,167,,,Αυτοκρατορικός κόκκινος λουτιάνος,,,,,
2392142,Nemadactylus douglasii,165,,,Νημαδάκτυλος,,,,,
2419415,Trygonoptera testacea,158,,,,,,,,
2388137,Epinephelus tauvina,154,,,,,,,,
5215493,Brachaelurus waddi,145,,,,,,,,
8006460,Anarhichas lupus,120,Atlantic Wolffish,,Λυκόψαρο,https://inaturalist-open-data.s3.amazonaws.com/photos/107915036/medium.jpg,https://www.inaturalist.org/observations/66879325,Alex Shure,Bony fish,
2440709,Balaenoptera borealis,112,,,Βορειοφάλαινα,,,,,
2417557,Orectolobus halei,112,,,,,,,,
5209124,Naso unicornis,108,,,,,,,,
2392273,Acanthopagrus butcheri,106,,,Μαύρη τσιπούρα Αυστραλίας,,,,,
2420446,Amblyraja radiata,104,Thorny Skate,,Ακτινόβατος,https://inaturalist-open-data.s3.amazonaws.com/photos/25578838/medium.jpg,https://www.inaturalist.org/observations/16927157,Tatiana Antokhina,Sharks & Rays,VU
7466803,Carcharhinus coatesi,100,,,,,,,,
2408813,Pseudorhombus arsius,94,,,,,,,,
5208090,Pomatomus saltatrix,92,Bluefish,,Γοφάρι,https://inaturalist-open-data.s3.amazonaws.com/photos/14722080/medium.jpg,https://www.inaturalist.org/observations/10566359,Peter,Bony fish,VU
2351244,Salvelinus confluentus,89,Bull Trout,,,https://inaturalist-open-data.s3.amazonaws.com/photos/231323307/medium.jpeg,https://www.inaturalist.org/observations/135611166,Jon David Nelson,Bony fish,VU
2418825,Eusphyra blochii,85,,,Ζύγαινα,,,,,
2388492,Epinephelus rivulatus,74,,,,,,,,
5201397,Platycephalus laevigatus,72,,,,,,,,
8178301,Platycephalus grandispinis,71,,,,,,,,
5712356,Anguilla australis,70,,,Κοντόπτερο αυστραλιανό χέλι,,,,,
2433480,Arctocephalus australis,52,South American Fur Seal,,Γουνοφόρα Φώκια Της Νέας Ζηλανδίας,,,,Marine mammals,
2406841,Meuschenia freycineti,52,,,,,,,,
2418252,Furgaleus macki,50,,,,,,,,
2415853,Gadus macrocephalus,50,Pacific Cod,,Μπακαλιάρος,https://inaturalist-open-data.s3.amazonaws.com/photos/340745230/medium.jpg,https://www.inaturalist.org/observations/193926226,dpcmiller,Bony fish,
2391929,Sillago sihama,50,,,Σίλαγγος,,,,,
2420848,Anoxypristis cuspidata,42,,,Πριονόψαρο,,,,,
2415893,Microgadus tomcod,42,Atlantic Tomcod,,,https://inaturalist-open-data.s3.amazonaws.com/photos/350861616/medium.jpg,https://www.inaturalist.org/observations/199002989,Flore du quartier,Bony fish,LC
8236498,Petromyzon marinus,22,Sea Lamprey,,Πετρόμυζον,https://inaturalist-open-data.s3.amazonaws.com/photos/285915486/medium.jpeg,https://www.inaturalist.org/observations/165189560,Jill DeVito,Bony fish,LC
2382906,Pomadasys commersonnii,20,Small-spotted Grunter,,,https://inaturalist-open-data.s3.amazonaws.com/photos/173395767/medium.jpeg,https://www.inaturalist.org/observations/103583156,Craig Peter,Bony fish,LC
2407011,Nelusetta ayraud,19,,,,,,,,
2449923,Hydrophis major,16,,,,,,,,
5208684,Kuhlia rupestris,16,,,,,,,,
5216248,Isurus oxyrinchus,14,,,Ρυγχοκαρχαρίας,,,,,
